Date,Open,High,Low,Close,Adj Close,Volume
1995-01-01,5.095000,5.220000,4.875000,5.220000,0.924779,40608800
1995-02-01,5.250000,5.595000,5.125000,5.250000,0.930094,57952400
1995-03-01,5.220000,5.250000,4.970000,5.032500,0.891561,50359200
1995-04-01,5.000000,5.282500,4.970000,5.000000,0.925272,73981600
1995-05-01,4.970000,5.187500,4.907500,5.157500,0.954419,38080400
1995-06-01,5.187500,5.437500,5.125000,5.282500,0.977551,48331200
1995-07-01,5.282500,5.407500,5.095000,5.157500,0.995650,39551600
1995-08-01,5.095000,5.532500,5.032500,5.407500,1.043912,45982800
1995-09-01,5.375000,5.812500,5.312500,5.750000,1.110032,80650000
1995-10-01,5.782500,6.095000,5.562500,5.937500,1.194560,138458800
1995-11-01,5.937500,6.407500,5.907500,5.970000,1.201099,58173200
1995-12-01,5.937500,6.125000,5.845000,6.000000,1.207134,49230000
1996-01-01,6.000000,6.407500,5.875000,6.282500,1.318334,45190400
1996-02-01,6.282500,6.312500,5.782500,5.812500,1.219709,60754000
1996-03-01,5.907500,6.250000,5.720000,5.907500,1.239643,51234400
1996-04-01,5.967500,6.125000,5.750000,5.900000,1.293095,72622800
1996-05-01,5.900000,6.250000,5.787500,6.175000,1.353367,81996000
1996-06-01,6.187500,6.287500,5.887500,5.987500,1.312272,57248000
1996-07-01,5.987500,6.550000,5.900000,6.412500,1.464971,89296000
1996-08-01,6.412500,6.737500,6.412500,6.525000,1.490672,64088400
1996-09-01,6.500000,7.350000,6.450000,6.912500,1.579198,76414400
1996-10-01,6.912500,7.850000,6.912500,7.837500,1.790520,128206000
1996-11-01,7.837500,9.525000,7.837500,9.000000,2.127000,110106800
1996-12-01,8.950000,9.062500,7.812500,8.800000,2.079734,69230800
1997-01-01,8.750000,9.337500,8.525000,9.275000,2.267928,59590400
1997-02-01,9.287500,10.100000,9.250000,9.625000,2.353509,78560400
1997-03-01,9.500000,10.250000,8.625000,8.725000,2.133442,107887600
1997-04-01,8.850000,9.925000,8.562500,9.875000,2.487672,92202000
1997-05-01,9.862500,10.775000,9.850000,10.412500,2.623077,76969600
1997-06-01,10.375000,10.962500,10.225000,10.225000,2.575843,64612800
1997-07-01,10.325000,11.250000,10.287500,11.137500,2.881110,87970800
1997-08-01,11.087500,11.300000,9.875000,10.500000,2.716199,69282000
1997-09-01,10.550000,11.937500,10.512500,11.737500,3.036320,77975200
1997-10-01,11.775000,13.000000,11.350000,12.912500,3.424955,98085200
1997-11-01,13.125000,13.725000,12.462500,12.612500,3.345382,88566800
1997-12-01,12.725000,13.812500,12.687500,13.450000,3.567523,70078000
1998-01-01,13.462500,15.750000,12.350000,13.400000,3.639989,110057200
1998-02-01,13.575000,15.775000,13.575000,15.050000,4.088195,89367600
1998-03-01,15.050000,16.337500,14.550000,15.300000,4.156106,81486800
1998-04-01,15.500000,18.687500,15.075000,16.325001,4.525037,142264800
1998-05-01,16.400000,16.500000,15.212500,16.350000,4.531969,57410400
1998-06-01,16.125000,17.037500,15.787500,16.625000,4.608193,95302000
1998-07-01,16.687500,17.012501,14.912500,14.912500,4.222127,68165600
1998-08-01,14.787500,14.787500,9.750000,10.012500,2.834805,142330400
1998-09-01,10.100000,11.637500,9.375000,10.187500,2.884354,117286000
1998-10-01,10.000000,11.825000,9.375000,11.475000,3.350128,94762400
1998-11-01,11.637500,13.750000,10.687500,12.837500,3.747909,76514800
1998-12-01,12.687500,13.625000,12.112500,13.450000,3.926728,63276400
1999-01-01,13.450000,16.049999,13.450000,15.750000,4.726915,122434800
1999-02-01,16.000000,17.562500,15.025000,15.525000,4.659389,120966000
1999-03-01,15.500000,17.700001,14.962500,17.275000,5.184598,115642400
1999-04-01,17.337500,22.750000,17.337500,19.462500,5.966633,244035600
1999-05-01,19.750000,20.125000,18.187500,19.937500,6.112253,106021200
1999-06-01,19.975000,20.000000,16.250000,16.687500,5.115900,145782000
1999-07-01,16.962500,18.400000,14.500000,14.900000,4.567904,93505800
1999-08-01,15.250000,16.125000,12.200000,14.625000,4.507927,107779400
1999-09-01,14.800000,15.400000,13.775000,14.225000,4.384634,66397600
1999-10-01,14.225000,17.225000,14.200000,16.875000,5.267409,74133200
1999-11-01,16.975000,18.700001,16.400000,17.750000,5.540533,92578200
1999-12-01,17.750000,20.025000,17.549999,19.375000,6.047765,73642800
2000-01-01,18.750000,20.125000,16.424999,18.125000,5.722903,87494600
2000-02-01,18.225000,18.950001,17.150000,18.350000,5.793946,76091000
2000-03-01,18.350000,20.025000,16.750000,19.200001,6.062331,101056800
2000-04-01,19.250000,19.850000,16.799999,17.125000,5.470448,98668400
2000-05-01,17.350000,18.950001,17.100000,18.750000,5.989543,73368600
2000-06-01,18.549999,19.625000,17.875000,18.000000,5.749961,61152000
2000-07-01,18.375000,18.375000,17.375000,17.674999,5.721322,60579600
2000-08-01,17.750000,21.200001,17.674999,21.025000,6.805708,89967600
